code,name,account_class,account_number,account_name,is_tax_deductible,default_deduction_rate,llm_hint
reise,Reisekosten,7,7340,Reise- und Fahrtaufwand,true,1,"Flüge, Bahn, Hotel, Tagegeld, Diäten, Km-Geld, Taxi, Mietwagen"
bewirtung,Bewirtung & Repräsentation,7,7650,Werbung und Repräsentation,true,0.5,"Geschäftsessen, Restaurant, Catering, Kundenessen — 50% absetzbar in AT"
buero,Büromaterial & Verbrauchsmaterial,7,7600,Büromaterial und Drucksorten,true,1,"Papier, Toner, Stifte, Druckerpatronen, Reinigungsmittel"
miete,Miete & Betriebskosten,7,7400,Miet- und Pachtaufwand,true,1,"Büromiete, Pacht. Strom/Heizung gemieteter Räume → 7200."
telekom,"Telefon, Internet & Kommunikation",7,7380,Nachrichtenaufwand,true,1,"Handyvertrag, Festnetz, Internet, Mobilfunk, Hosting, Domain"
porto,Porto & Versand,7,7381,Nachrichtenaufwand (Porto),true,1,"Briefmarken, Paketversand, Kurier, DHL, Post"
literatur,Fachliteratur & Zeitschriften,7,7630,Fachliteratur und Zeitungen,true,1,"Fachbücher, Zeitschriften-Abo, Online-Zugang, Newsletter-Abo"
fortbildung,Aus- und Fortbildung,7,7770,Aus- und Fortbildung,true,1,"Seminare, Kurse, Konferenzen, Workshops, Zertifizierungen, Prüfungsgebühren"
versicherung,Versicherungen,7,7700,Versicherungen,true,1,"Betriebshaftpflicht, Berufshaftpflicht, Elektronikversicherung, Rechtsschutz"
kfz,Kfz-Kosten,7,7320,Kfz-Aufwand (PKW und Kombis),true,1,"Treibstoff, Tankrechnung, Service, Reparatur, Vignette, Maut, Parkgebühren, Leasing"
werbung,Werbung & Marketing,7,7660,Werbung und Repräsentation,true,1,"Anzeigen, Google Ads, Social Media, Flyer, Druckkosten, Messestand, Sponsoring"
beratung,Beratung & Fremdleistungen,7,7750,Beratung und Prüfung,true,1,"Steuerberater, Rechtsanwalt, Unternehmensberatung, Freelancer, Subunternehmer"
software,"Software, Lizenzen & IT",7,7480,Lizenzaufwand,true,1,"SaaS-Abos, Cloud, Microsoft 365, Adobe, Antivirus, Server, Backup"
ausstattung,Büroeinrichtung & Geräte,7,7060,Sofortabschreibung GWG,true,1,"Möbel, Monitor, Laptop — GWG auf 7060; darüber Klasse 0"
bank,Bank- & Zahlungsgebühren,7,7790,Spesen des Geldverkehrs,true,1,"Kontogebühren, Überweisungsgebühren, Kreditkartengebühren, PayPal-Gebühren"
mitglied,Mitgliedsbeiträge & Verbände,7,7780,Mitgliedsbeiträge,true,1,"WKO, Berufsverband, Kammer, Verein, Fachverband"
geschenke,Geschenke & Kundengeschenke,7,7670,Werbung und Repräsentation,true,1,"Werbegeschenke mit Logo 100% absetzbar, rein repräsentative Geschenke nicht"
reparatur,Reparaturen & Instandhaltung,7,7200,Instandhaltung und Betriebskosten,true,1,"Gerätereparatur, Büroreparatur, Wartungsvertrag, Handwerker"
sonstige,Sonstige betriebliche Aufwendungen,7,7840,Verschiedene betriebliche Aufwendungen,true,1,"Alles, was in keine andere Kategorie passt — Fallback-Kategorie"
